Method,KLD (20),KLD (80),KLD (240)
IMLE + TB,68.1271 +/- 27.5034,39.8102 +/- 29.4917,0.0291 +/- 0.0134
DLVM-2 + Random,0.1190 +/- 0.1236,0.0304 +/- 0.0444,0.0060 +/- 0.0090
DLVM-2 + TB,0.3177 +/- 0.2786,0.1477 +/- 0.2057,0.0146 +/- 0.0469
IMLE + DALE + PS=0,26.4733 +/- 23.4897,20.6642 +/- 20.4605,18.5777 +/- 19.5027
IMLE + DALE + PS=1,,,
IMLE + DALE + PS=2,0.3317 +/- 0.1797,0.2471 +/- 0.1690,0.2265 +/- 0.1681
IMLE + DALE + PS=4,0.3898 +/- 0.1843,0.1414 +/- 0.0892,0.1205 +/- 0.0804
IMLE + Random,4.3968 +/- 11.1588,0.1013 +/- 0.0630,0.0313 +/- 0.0139
DLVM-2 + DALE + PS=0,0.1223 +/- 0.1585,0.0735 +/- 0.1346,0.0543 +/- 0.1133
DLVM-2 + DALE + PS=1,,,
DLVM-2 + DALE + PS=2,0.0874 +/- 0.1053,0.0304 +/- 0.0592,0.0191 +/- 0.0363
DLVM-2 + DALE + PS=4,0.1099 +/- 0.1187,0.0371 +/- 0.0585,0.0242 +/- 0.0486
